Below is Time Logs: 
Below is time_logs: for gs://apfm-dev/LID19658191_CID86172765_Rollie_Colby_20200213.wav
Word: can, start_time: 0.0,end_time: 0.30000000000000004 
Word: if, start_time: 35.4,end_time: 35.5 
Word: we, start_time: 35.5,end_time: 35.7 
Word: help, start_time: 35.7,end_time: 35.9 
Word: you, start_time: 35.9,end_time: 36.0 
Word: find, start_time: 36.0,end_time: 36.4 
Word: a, start_time: 36.4,end_time: 36.4 
Word: good, start_time: 36.4,end_time: 36.5 
Word: fit, start_time: 36.5,end_time: 36.6 
Word: and, start_time: 36.6,end_time: 36.9 
Word: you, start_time: 36.9,end_time: 37.0 
Word: decide, start_time: 37.0,end_time: 37.3 
Word: to, start_time: 37.3,end_time: 37.5 
Word: move, start_time: 37.5,end_time: 37.6 
Word: in, start_time: 37.6,end_time: 37.9 
Word: that, start_time: 37.9,end_time: 38.4 
Word: fee, start_time: 38.4,end_time: 38.7 
Word: ranges, start_time: 38.7,end_time: 39.2 
Word: from, start_time: 39.2,end_time: 39.4 
Word: 78%, start_time: 39.4,end_time: 40.7 
Word: to, start_time: 40.7,end_time: 40.7 
Word: 120%, start_time: 40.7,end_time: 42.0 
Word: of, start_time: 42.0,end_time: 42.0 
Word: the, start_time: 42.0,end_time: 42.1 
Word: first, start_time: 42.1,end_time: 42.5 
Word: month's, start_time: 42.5,end_time: 42.8 
Word: rent, start_time: 42.8,end_time: 42.8 
Word: depending, start_time: 43.1,end_time: 43.9 
Word: upon, start_time: 43.9,end_time: 44.1 
Word: the, start_time: 44.1,end_time: 44.2 
Word: agreement, start_time: 44.2,end_time: 44.7 
Word: and, start_time: 44.7,end_time: 44.9 
Word: no, start_time: 44.9,end_time: 45.0 
Word: one, start_time: 45.0,end_time: 45.2 
Word: can, start_time: 45.2,end_time: 45.3 
Word: ever, start_time: 45.3,end_time: 45.4 
Word: charge, start_time: 45.4,end_time: 45.8 
Word: you, start_time: 45.8,end_time: 45.9 
Word: more, start_time: 45.9,end_time: 46.1 
Word: because, start_time: 46.1,end_time: 46.4 
Word: you, start_time: 46.4,end_time: 46.6 
Word: use, start_time: 46.6,end_time: 46.8 
Word: our, start_time: 46.8,end_time: 46.9 
Word: services, start_time: 46.9,end_time: 47.4 
Word: and, start_time: 47.4,end_time: 48.0 
Word: do, start_time: 48.0,end_time: 48.2 
Word: you, start_time: 48.2,end_time: 48.2 
Word: understand, start_time: 48.2,end_time: 48.6 
Word: that, start_time: 48.6,end_time: 48.8 
Word: our, start_time: 48.8,end_time: 48.9 
Word: services, start_time: 48.9,end_time: 49.4 
Word: are, start_time: 49.4,end_time: 49.6 
Word: free, start_time: 49.6,end_time: 49.7 
Word: to, start_time: 49.7,end_time: 49.9 
Word: you, start_time: 49.9,end_time: 50.0 
Word: sure, start_time: 51.3,end_time: 51.8 
Word: can, start_time: 0.0,end_time: 0.30000000000000004 
Word: you, start_time: 0.30000000000000004,end_time: 0.4 
Word: confirm, start_time: 0.4,end_time: 0.7000000000000001 
Word: you, start_time: 0.7000000000000001,end_time: 0.9 
Word: are, start_time: 0.9,end_time: 1.0 
Word: Rowley, start_time: 1.0,end_time: 1.4 
Word: Colby, start_time: 1.4,end_time: 1.8 
Word: great, start_time: 2.9,end_time: 4.9 
Word: thanks, start_time: 4.9,end_time: 5.3 
Word: well, start_time: 5.4,end_time: 6.2 
Word: how, start_time: 6.2,end_time: 6.4 
Word: do, start_time: 6.4,end_time: 6.5 
Word: you, start_time: 6.5,end_time: 6.6 
Word: spell, start_time: 6.6,end_time: 6.7 
Word: your, start_time: 6.7,end_time: 6.8 
Word: name, start_time: 6.8,end_time: 7.0 
Word: maybe, start_time: 7.0,end_time: 7.7 
Word: leave, start_time: 7.7,end_time: 8.0 
Word: okay, start_time: 8.0,end_time: 9.9 
Word: great, start_time: 9.9,end_time: 10.5 
Word: great, start_time: 10.5,end_time: 11.0 
Word: thanks, start_time: 11.0,end_time: 11.5 
Word: for, start_time: 11.5,end_time: 11.6 
Word: doing, start_time: 11.6,end_time: 11.7 
Word: that, start_time: 11.7,end_time: 11.8 
Word: again, start_time: 11.8,end_time: 12.0 
Word: in, start_time: 12.0,end_time: 12.2 
Word: addition, start_time: 12.2,end_time: 12.4 
Word: to, start_time: 12.4,end_time: 12.6 
Word: confirming, start_time: 12.6,end_time: 13.2 
Word: your, start_time: 13.2,end_time: 13.3 
Word: name, start_time: 13.3,end_time: 13.5 
Word: I, start_time: 13.5,end_time: 13.7 
Word: need, start_time: 13.7,end_time: 13.7 
Word: a, start_time: 13.7,end_time: 14.0 
Word: record, start_time: 14.0,end_time: 14.3 
Word: that, start_time: 14.3,end_time: 14.4 
Word: I've, start_time: 14.4,end_time: 14.5 
Word: provided, start_time: 14.5,end_time: 14.8 
Word: you, start_time: 14.8,end_time: 15.2 
Word: with, start_time: 15.2,end_time: 15.3 
Word: these, start_time: 15.3,end_time: 15.4 
Word: disclosures, start_time: 15.4,end_time: 16.1 
Word: and, start_time: 16.1,end_time: 16.3 
Word: I, start_time: 16.3,end_time: 16.4 
Word: also, start_time: 16.4,end_time: 16.7 
Word: need, start_time: 16.7,end_time: 17.0 
Word: you, start_time: 17.0,end_time: 17.1 
Word: to, start_time: 17.1,end_time: 17.1 
Word: sign, start_time: 17.1,end_time: 17.4 
Word: it, start_time: 17.4,end_time: 17.6 
Word: but, start_time: 17.6,end_time: 17.8 
Word: to, start_time: 17.8,end_time: 17.9 
Word: make, start_time: 17.9,end_time: 18.1 
Word: things, start_time: 18.1,end_time: 18.2 
Word: easier, start_time: 18.2,end_time: 18.8 
Word: for, start_time: 18.8,end_time: 18.9 
Word: you, start_time: 18.9,end_time: 19.3 
Word: instead, start_time: 19.3,end_time: 19.4 
Word: of, start_time: 19.4,end_time: 19.8 
Word: having, start_time: 19.8,end_time: 20.0 
Word: a, start_time: 20.0,end_time: 20.2 
Word: physically, start_time: 20.2,end_time: 20.6 
Word: signed, start_time: 20.6,end_time: 20.8 
Word: something, start_time: 20.8,end_time: 21.3 
Word: we, start_time: 21.3,end_time: 21.8 
Word: could, start_time: 21.8,end_time: 21.9 
Word: actually, start_time: 21.9,end_time: 22.2 
Word: have, start_time: 22.2,end_time: 22.5 
Word: you, start_time: 22.5,end_time: 22.6 
Word: sign, start_time: 22.6,end_time: 22.9 
Word: over, start_time: 22.9,end_time: 23.1 
Word: the, start_time: 23.1,end_time: 23.2 
Word: phone, start_time: 23.2,end_time: 23.4 
Word: now, start_time: 23.4,end_time: 23.7 
Word: bye, start_time: 23.7,end_time: 24.0 
Word: recording, start_time: 24.0,end_time: 24.5 
Word: this, start_time: 24.5,end_time: 24.6 
Word: conversation, start_time: 24.6,end_time: 25.0 
Word: is, start_time: 25.0,end_time: 25.6 
Word: that, start_time: 25.6,end_time: 25.7 
Word: alright, start_time: 25.7,end_time: 26.0 
Word: perfect, start_time: 28.1,end_time: 28.8 
Word: thanks, start_time: 28.8,end_time: 29.0 
Word: so, start_time: 29.0,end_time: 29.2 
Word: much, start_time: 29.2,end_time: 29.2 
Word: and, start_time: 29.2,end_time: 29.9 
Word: just, start_time: 29.9,end_time: 29.9 
Word: to, start_time: 29.9,end_time: 30.2 
Word: let, start_time: 30.2,end_time: 30.2 
Word: you, start_time: 30.2,end_time: 30.3 
Word: know, start_time: 30.3,end_time: 30.4 
Word: our, start_time: 30.4,end_time: 30.7 
Word: service, start_time: 30.7,end_time: 30.9 
Word: is, start_time: 30.9,end_time: 31.2 
Word: free, start_time: 31.2,end_time: 31.3 
Word: to, start_time: 31.3,end_time: 31.6 
Word: you, start_time: 31.6,end_time: 31.6 
Word: because, start_time: 31.6,end_time: 31.9 
Word: we, start_time: 31.9,end_time: 32.1 
Word: are, start_time: 32.1,end_time: 32.1 
Word: paid, start_time: 32.1,end_time: 32.4 
Word: a, start_time: 32.4,end_time: 32.6 
Word: referral, start_time: 32.6,end_time: 32.9 
Word: fee, start_time: 32.9,end_time: 33.3 
Word: You, start_time: 33.3,end_time: 33.4 
Word: by, start_time: 33.4,end_time: 33.6 
Word: our, start_time: 33.6,end_time: 33.7 
Word: partner, start_time: 33.7,end_time: 34.1 
Word: communities, start_time: 34.1,end_time: 34.2 
Word: only, start_time: 34.2,end_time: 35.4 
Word: if, start_time: 35.4,end_time: 35.5 
Word: we, start_time: 35.5,end_time: 35.7 
Word: help, start_time: 35.7,end_time: 35.9 
Word: you, start_time: 35.9,end_time: 36.0 
Word: find, start_time: 36.0,end_time: 36.4 
Word: a, start_time: 36.4,end_time: 36.4 
Word: good, start_time: 36.4,end_time: 36.5 
Word: fit, start_time: 36.5,end_time: 36.6 
Word: and, start_time: 36.6,end_time: 36.9 
Word: you, start_time: 36.9,end_time: 37.0 
Word: decide, start_time: 37.0,end_time: 37.3 
Word: to, start_time: 37.3,end_time: 37.5 
Word: move, start_time: 37.5,end_time: 37.6 
Word: in, start_time: 37.6,end_time: 37.9 
Word: that, start_time: 37.9,end_time: 38.4 
Word: fee, start_time: 38.4,end_time: 38.7 
Word: ranges, start_time: 38.7,end_time: 39.2 
Word: from, start_time: 39.2,end_time: 39.4 
Word: 78%, start_time: 39.4,end_time: 40.7 
Word: to, start_time: 40.7,end_time: 40.7 
Word: 120%, start_time: 40.7,end_time: 42.0 
Word: of, start_time: 42.0,end_time: 42.0 
Word: the, start_time: 42.0,end_time: 42.1 
Word: first, start_time: 42.1,end_time: 42.5 
Word: month's, start_time: 42.5,end_time: 42.8 
Word: rent, start_time: 42.8,end_time: 42.8 
Word: depending, start_time: 43.1,end_time: 43.9 
Word: upon, start_time: 43.9,end_time: 44.1 
Word: the, start_time: 44.1,end_time: 44.2 
Word: agreement, start_time: 44.2,end_time: 44.7 
Word: and, start_time: 44.7,end_time: 44.9 
Word: no, start_time: 44.9,end_time: 45.0 
Word: one, start_time: 45.0,end_time: 45.2 
Word: can, start_time: 45.2,end_time: 45.3 
Word: ever, start_time: 45.3,end_time: 45.4 
Word: charge, start_time: 45.4,end_time: 45.8 
Word: you, start_time: 45.8,end_time: 45.9 
Word: more, start_time: 45.9,end_time: 46.1 
Word: because, start_time: 46.1,end_time: 46.4 
Word: you, start_time: 46.4,end_time: 46.6 
Word: use, start_time: 46.6,end_time: 46.8 
Word: our, start_time: 46.8,end_time: 46.9 
Word: services, start_time: 46.9,end_time: 47.4 
Word: and, start_time: 47.4,end_time: 48.0 
Word: do, start_time: 48.0,end_time: 48.2 
Word: you, start_time: 48.2,end_time: 48.2 
Word: understand, start_time: 48.2,end_time: 48.6 
Word: that, start_time: 48.6,end_time: 48.8 
Word: our, start_time: 48.8,end_time: 48.9 
Word: services, start_time: 48.9,end_time: 49.4 
Word: are, start_time: 49.4,end_time: 49.6 
Word: free, start_time: 49.6,end_time: 49.7 
Word: to, start_time: 49.7,end_time: 49.9 
Word: you, start_time: 49.9,end_time: 50.0 
Word: sure, start_time: 51.3,end_time: 51.8 
